feature,importance
tavg_mean_prior_7d,0.19598925
days_since_prior_fire_filled,0.07535296
tmax_lag1,0.065277174
tavg_lag1,0.06309473
pixel_fire_days_prior_30d,0.059061006
pixel_cumulative_prior_fire_days,0.05652877
fire_days_prior_30d,0.04438047
pixel_days_since_prior_fire_filled,0.031466313
pixel_has_prior_fire,0.030695848
tmin_lag1,0.019122874
pixel_fire_days_prior_90d,0.019047666
gouvernorat_Sousse,0.017902741
prcp_sum_prior_30d_was_missing,0.016286219
prcp_sum_prior_7d_was_missing,0.0153676765
doy_cos,0.015221886
fire_days_prior_90d,0.013499455
pixel_centroid_lon_proxy,0.01195818
pixel_centroid_lat_proxy,0.011600637
prcp_sum_prior_30d,0.011221531
fire_days_prior_365d,0.011035282
historical_fire_day_rate_prior,0.0104617495
wspd_mean_prior_7d,0.010401659
prcp_sum_prior_7d,0.009975546
NDVI_latest_prior,0.009866895
doy_sin,0.0097114
tmax_lag1_was_missing,0.009514226
gouvernorat_Jendouba,0.00942884
gouvernorat_Kairouan,0.009353863
gouvernorat_Bizerte,0.009105662
NBR_latest_prior,0.008926754
pres_lag1,0.008654138
gouvernorat_Medenine,0.008603243
tmin_lag1_was_missing,0.008395896
prcp_lag1_was_missing,0.008287931
prcp_lag1,0.0082602585
wspd_lag1,0.007774764
gouvernorat_Gafsa,0.0076274737
NDMI_latest_prior,0.0075561404
gouvernorat_Ariana,0.007474053
pres_lag1_was_missing,0.0071647414
gouvernorat_Tataouine,0.0071632294
gouvernorat_Gabes,0.0066897534
wspd_lag1_was_missing,0.006447078
gouvernorat_Sfax,0.0062378044
pixel_fire_days_prior_365d,0.0042522387
veg_value_age_proxy_days,0.003330873
gouvernorat_Tozeur,0.0029302272
region_has_prior_fire,0.002292768
tavg_lag1_was_missing,0.0
tavg_mean_prior_7d_was_missing,0.0
wspd_mean_prior_7d_was_missing,0.0
