gouvernorat,year,fire_count,area_burned_ha,forest_area_ha,other_forest_area_ha,tavg,tmax,tmin,prcp,wspd,pres,NDVI,NDMI,NBR,brightness,total_frp,confidence,satellite_fire_count
Ariana,2015,10.0,4.608,1141.0,1522.0,23.13636363636364,34.6,12.5,15.2,17.43,1020.1,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,324.8090909090909,158.0,64.36363636363636,11.0
Ariana,2016,15.0,36.58,1141.0,1522.0,21.453333333333333,39.0,4.5,49.1,14.306666666666668,1017.1910714285714,0.0901455429964953,-0.0773824890622776,-0.0013287955210824,329.43333333333334,851.2,66.125,24.0
Ariana,2017,10.0,4.25,1141.0,1522.0,19.53288043478261,42.7,-4.8,318.4,13.078474114441418,1017.2449035812672,0.0953169830541285,-0.0616613672352681,0.0108300938444385,321.38461538461536,183.3,61.69230769230769,13.0
Ariana,2018,9.0,35.875,1141.0,1522.0,19.576712328767123,43.6,-6.5,491.3,12.968406593406591,1012.401699716714,0.0951690392883357,-0.0662696713284299,0.0042307633280434,318.0222222222222,127.6,62.333333333333336,9.0
Ariana,2019,8.0,26.654,1141.0,1522.0,19.90608465608465,44.1,4.0,530.5,13.93968253968254,1015.5899470899471,0.0985081899615801,-0.0619976885841751,0.0098753368347586,325.7192307692308,812.4,66.23076923076923,26.0
Ariana,2020,8.0,17.0,1141.0,1522.0,19.808130081300813,42.0,3.5,423.8,12.8159891598916,1017.2853658536584,0.0891483653821934,-0.0682735874144097,0.0013409184681932,329.2882352941176,347.8,70.17647058823529,17.0
Ariana,2021,8.0,40.45,1141.0,1522.0,20.48293963254593,49.0,3.5,350.3,12.635695538057742,1016.2451443569554,0.0910379044602431,-0.0703392148485857,-0.0028129693725397,333.7184210526316,1913.4,72.94736842105263,38.0
Ariana,2022,10.0,846.9,1141.0,1522.0,22.79715536105033,44.6,3.0,268.3,12.431072210065643,1016.3715536105032,0.0904326293344522,-0.0712960055127772,-0.004417121716374,343.79999999999995,10709.6,82.70588235294117,119.0
Ariana,2023,4.0,18.5,1141.0,1522.0,20.674054054054054,49.0,1.4,305.2,12.696756756756756,1016.3656756756756,0.0809199306117161,-0.0740600436045165,-0.0098012321273791,316.6894736842105,434.8,64.6842105263158,19.0
Ariana,2024,11.0,11.55,1141.0,1522.0,20.81517615176152,43.4,4.5,270.6,12.505149051490514,1016.5620596205964,0.0919173119031877,-0.0724141724151161,-0.0054989141262618,317.6933333333333,187.7,60.4,15.0
Ariana,2025,21.0,8.12,1141.0,1522.0,20.45917808219178,45.2,0.7,422.3,11.813424657534243,1016.4498630136986,0.0967184463527816,-0.0661117097889653,0.0089611435498509,323.0436454752181,0.0,65.29756656992024,0.0
Beja,2015,28.0,50.046,48117.0,32063.0,26.910591801085896,40.739999999999995,14.3,2.0555555555555554,13.165516360070134,1019.06875,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,321.70263005783477,0.0,61.68557775341401,0.0
Beja,2016,44.0,76.58,48117.0,32063.0,22.00346496085974,40.233333333333334,4.311111111111111,5.672727272727273,13.619223517905711,1016.8962394965931,0.08933277091171263,-0.079292706691506,-0.0030758624181950996,322.52989787254387,0.0,61.49336910961134,0.0
Beja,2017,41.0,516.769,48117.0,32063.0,21.272126366616064,44.44444444444444,0.35555555555555557,88.8,13.01565390444876,1016.840465441503,0.0944268191107382,-0.06406095298103373,0.008192211880793963,326.5986745217249,0.0,63.256359378637306,0.0
Beja,2018,55.0,76.149,48117.0,32063.0,20.45376754505939,45.14545454545455,1.8272727272727274,145.47272727272727,13.726083768892119,1015.0103880944705,0.09556175740947545,-0.06582210391356734,0.0047613527309758544,319.2079996939088,0.0,61.5048668503214,0.0
Beja,2019,18.0,204.91,48117.0,32063.0,20.614126650036905,44.88181818181818,-1.9909090909090907,135.0,14.138777271102885,1015.6160992473164,0.1002167567313819,-0.06137518432071138,0.010599490958451991,323.4933877920087,0.0,68.466127675163,0.0
Beja,2020,97.0,1084.49,48117.0,32063.0,21.32628943746091,44.554545454545455,1.1909090909090911,142.9090909090909,13.39006922932628,1016.8704736188581,0.08977367616120505,-0.06877452522284531,0.0008038702147865018,329.25747293512,0.0,71.88394781335957,0.0
Beja,2021,37.0,189.468,48117.0,32063.0,22.090646902066204,47.654545454545456,0.1,152.75454545454545,13.769729967386246,1016.1590162087291,0.09056086888299263,-0.07136040127289321,-0.0033992255451026454,324.1634510140843,0.0,67.5791062391721,0.0
Beja,2022,111.0,2166.735,48117.0,32063.0,21.252064231033952,44.22727272727273,1.4909090909090907,161.3909090909091,12.909214717074235,1017.1483075252759,0.09062421070345383,-0.07001989969980184,-0.003517594190538891,322.98870284780577,0.0,62.83833935328518,0.0
Beja,2023,47.0,624.43,48117.0,32063.0,21.327951415829908,48.019999999999996,-4.0600000000000005,279.8818181818182,13.476098520463276,1016.4133592864315,0.08099979695142666,-0.07350739271986148,-0.009469364905817346,324.2538285968604,0.0,67.5316102425945,0.0
Beja,2024,30.0,142.0,48117.0,32063.0,21.380369550463985,44.08,-2.0699999999999994,204.76363636363638,13.516285262934412,1016.5428084522988,0.09208614438952391,-0.07286868368816443,-0.005818128310276672,316.2404094202899,0.0,66.7363612836439,0.0
Beja,2025,159.0,946.12,48117.0,32063.0,20.898164383561642,45.519999999999996,-1.9800000000000004,290.94545454545454,12.690000000000001,1016.4559146705442,0.09673333756028037,-0.06609225732263581,0.008981637089400819,323.0436454752181,0.0,65.29756656992024,0.0
Ben Arous,2015,0.0,0.0,12920.0,5179.0,26.910591801085896,40.739999999999995,14.3,2.0555555555555554,13.165516360070134,1019.06875,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,321.70263005783477,0.0,61.68557775341401,0.0
Ben Arous,2016,7.0,37.25,12920.0,5179.0,22.00346496085974,40.233333333333334,4.311111111111111,5.672727272727273,13.619223517905711,1016.8962394965931,0.08933277091171263,-0.079292706691506,-0.0030758624181950996,322.52989787254387,0.0,61.49336910961134,0.0
Ben Arous,2017,7.0,2.77,12920.0,5179.0,21.272126366616064,44.44444444444444,0.35555555555555557,88.8,13.01565390444876,1016.840465441503,0.0944268191107382,-0.06406095298103373,0.008192211880793963,326.5986745217249,0.0,63.256359378637306,0.0
Ben Arous,2018,4.0,5.5,12920.0,5179.0,20.45376754505939,45.14545454545455,1.8272727272727274,145.47272727272727,13.726083768892119,1015.0103880944705,0.09556175740947545,-0.06582210391356734,0.0047613527309758544,319.2079996939088,0.0,61.5048668503214,0.0
Ben Arous,2019,4.0,10.25,12920.0,5179.0,20.614126650036905,44.88181818181818,-1.9909090909090907,135.0,14.138777271102885,1015.6160992473164,0.1002167567313819,-0.06137518432071138,0.010599490958451991,323.4933877920087,0.0,68.466127675163,0.0
Ben Arous,2020,4.0,4.1,12920.0,5179.0,21.32628943746091,44.554545454545455,1.1909090909090911,142.9090909090909,13.39006922932628,1016.8704736188581,0.08977367616120505,-0.06877452522284531,0.0008038702147865018,329.25747293512,0.0,71.88394781335957,0.0
Ben Arous,2021,5.0,11.0,12920.0,5179.0,22.090646902066204,47.654545454545456,0.1,152.75454545454545,13.769729967386246,1016.1590162087291,0.09056086888299263,-0.07136040127289321,-0.0033992255451026454,324.1634510140843,0.0,67.5791062391721,0.0
Ben Arous,2022,11.0,885.5,12920.0,5179.0,21.252064231033952,44.22727272727273,1.4909090909090907,161.3909090909091,12.909214717074235,1017.1483075252759,0.09062421070345383,-0.07001989969980184,-0.003517594190538891,322.98870284780577,0.0,62.83833935328518,0.0
Ben Arous,2023,0.0,0.0,12920.0,5179.0,21.327951415829908,48.019999999999996,-4.0600000000000005,279.8818181818182,13.476098520463276,1016.4133592864315,0.08099979695142666,-0.07350739271986148,-0.009469364905817346,324.2538285968604,0.0,67.5316102425945,0.0
Ben Arous,2024,4.0,1.42,12920.0,5179.0,21.380369550463985,44.08,-2.0699999999999994,204.76363636363638,13.516285262934412,1016.5428084522988,0.09208614438952391,-0.07286868368816443,-0.005818128310276672,316.2404094202899,0.0,66.7363612836439,0.0
Ben Arous,2025,15.0,2.15,12920.0,5179.0,20.898164383561642,45.519999999999996,-1.9800000000000004,290.94545454545454,12.690000000000001,1016.4559146705442,0.09673333756028037,-0.06609225732263581,0.008981637089400819,323.0436454752181,0.0,65.29756656992024,0.0
Bizerte,2015,31.0,89.648,35658.0,55157.0,28.279591836734696,41.3,20.0,0.0,14.703030303030303,1012.625,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,333.2384615384616,2491.7,73.92307692307692,52.0
Bizerte,2016,43.0,44.79,35658.0,55157.0,21.771186440677965,40.0,1.7,0.0,13.64074074074074,1016.9622641509434,0.0901455429964953,-0.0773824890622776,-0.0013287955210824,330.296,710.7,74.04,25.0
